Date,Open,High,Low,Close,Volume
7/18/2016 16:00:00,10773.11,10797.99,10747.28,10793.17,0
7/19/2016 16:00:00,10754.54,10763.98,10733.09,10758.54,0
7/20/2016 16:00:00,10758.6,10805.01,10746.59,10793.1,0
7/21/2016 16:00:00,10784.68,10811.74,10735.08,10758.62,0
7/22/2016 16:00:00,10764.27,10807.22,10750.67,10805.04,0
7/25/2016 16:00:00,10787.57,10787.57,10725.14,10752.43,0
7/26/2016 16:00:00,10754.94,10788.93,10727.34,10772.99,0
7/27/2016 16:00:00,10782.32,10785.24,10696.8,10739.77,0
7/28/2016 16:00:00,10727.87,10758.04,10692.83,10744.16,0
7/29/2016 16:00:00,10734.07,10797.99,10717.38,10785.51,0
8/1/2016 16:00:00,10768.75,10780.61,10713.72,10730.2,0
8/2/2016 16:00:00,10729.11,10730.88,10619.39,10661.13,0
8/3/2016 16:00:00,10660.91,10695.14,10624.64,10695.14,0
8/4/2016 16:00:00,10697.23,10726.3,10679.64,10707.13,0
8/5/2016 16:00:00,10731.82,10782.87,10729.67,10782.87,0
8/8/2016 16:00:00,10789.85,10806.3,10778.17,10788.01,0
8/9/2016 16:00:00,10797.38,10828.51,10786.45,10804.51,0
8/10/2016 16:00:00,10812.32,10821.21,10761.07,10774.98,0
8/11/2016 16:00:00,10775.06,10848.2,10775.06,10836.15,0
8/12/2016 16:00:00,10827.87,10843.5,10798.97,10822.41,0
8/15/2016 16:00:00,10838.34,10892.15,10838.34,10858.5,0
8/16/2016 16:00:00,10843.41,10843.58,10809.68,10809.74,0
8/17/2016 16:00:00,10803.68,10828.94,10754.65,10824.64,0
8/18/2016 16:00:00,10823.79,10863.02,10820.84,10863.01,0
8/19/2016 16:00:00,10822.51,10834.51,10783.29,10829.15,0
8/22/2016 16:00:00,10798.1,10824.56,10775.18,10815.92,0
8/23/2016 16:00:00,10857.94,10879.28,10847.01,10847.49,0
8/24/2016 16:00:00,10845.17,10848.9,10774.97,10791.18,0
8/25/2016 16:00:00,10780.73,10813.98,10770.29,10784.37,0
8/26/2016 16:00:00,10808.4,10869.47,10710.05,10749.33,0
8/29/2016 16:00:00,10753.45,10825.04,10753.45,10811.35,0
8/30/2016 16:00:00,10817.34,10825.72,10772.13,10797.54,0
8/31/2016 16:00:00,10780.22,10785.65,10714.09,10764.75,0
9/1/2016 16:00:00,10762.45,10780.71,10704,10771.93,0
9/2/2016 16:00:00,10830.55,10867.85,10827.19,10856.92,0
9/6/2016 16:00:00,10879.64,10891.22,10838.95,10890.79,0
